"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Helsinki Malmi lentokenttä","2024","1","1","00:00","-16.7","-15.8","-17.6"
"Helsinki Malmi lentokenttä","2024","1","1","01:00","-16.6","-16.2","-17.2"
"Helsinki Malmi lentokenttä","2024","1","1","02:00","-16.7","-16.3","-17"
"Helsinki Malmi lentokenttä","2024","1","1","03:00","-16.8","-16.5","-17.9"
"Helsinki Malmi lentokenttä","2024","1","1","04:00","-16.9","-16.5","-17.5"
"Helsinki Malmi lentokenttä","2024","1","1","05:00","-16.7","-15.9","-17.3"
"Helsinki Malmi lentokenttä","2024","1","1","06:00","-15.7","-15.4","-16.2"
"Helsinki Malmi lentokenttä","2024","1","1","07:00","-16.5","-16","-17.1"
"Helsinki Malmi lentokenttä","2024","1","1","08:00","-17","-16.4","-17.9"
"Helsinki Malmi lentokenttä","2024","1","1","09:00","-16.6","-16.5","-16.9"
"Helsinki Malmi lentokenttä","2024","1","1","10:00","-17","-16.8","-17.3"
"Helsinki Malmi lentokenttä","2024","1","1","11:00","-17.3","-16.9","-17.6"
"Helsinki Malmi lentokenttä","2024","1","1","12:00","-16.9","-16.7","-17.1"
"Helsinki Malmi lentokenttä","2024","1","1","13:00","-16.7","-16.6","-16.8"
"Helsinki Malmi lentokenttä","2024","1","1","14:00","-16.6","-16.5","-16.8"
"Helsinki Malmi lentokenttä","2024","1","1","15:00","-17","-16.7","-17.4"
"Helsinki Malmi lentokenttä","2024","1","1","16:00","-17.8","-17.4","-18.2"
"Helsinki Malmi lentokenttä","2024","1","1","17:00","-18.2","-18","-18.4"
"Helsinki Malmi lentokenttä","2024","1","1","18:00","-18","-17.8","-18.3"
"Helsinki Malmi lentokenttä","2024","1","1","19:00","-18.2","-18.1","-18.4"
"Helsinki Malmi lentokenttä","2024","1","1","20:00","-18.1","-18","-18.2"
"Helsinki Malmi lentokenttä","2024","1","1","21:00","-18","-17.9","-18.3"
"Helsinki Malmi lentokenttä","2024","1","1","22:00","-17.7","-17.5","-17.9"
"Helsinki Malmi lentokenttä","2024","1","1","23:00","-17.6","-17.5","-17.6"
"Helsinki Malmi lentokenttä","2024","1","2","00:00","-17.6","-17.5","-17.9"
"Helsinki Malmi lentokenttä","2024","1","2","01:00","-17.9","-17.9","-18"
"Helsinki Malmi lentokenttä","2024","1","2","02:00","-17.8","-17.3","-18.1"
"Helsinki Malmi lentokenttä","2024","1","2","03:00","-17.5","-17.3","-17.7"
"Helsinki Malmi lentokenttä","2024","1","2","04:00","-17.3","-17.1","-17.5"
"Helsinki Malmi lentokenttä","2024","1","2","05:00","-16.8","-16.5","-17"
"Helsinki Malmi lentokenttä","2024","1","2","06:00","-16.4","-16.3","-16.5"
"Helsinki Malmi lentokenttä","2024","1","2","07:00","-16.3","-16.1","-16.5"
"Helsinki Malmi lentokenttä","2024","1","2","08:00","-16.6","-16.1","-16.8"
"Helsinki Malmi lentokenttä","2024","1","2","09:00","-16.9","-16.8","-17.1"
"Helsinki Malmi lentokenttä","2024","1","2","10:00","-17","-16.8","-17.1"
"Helsinki Malmi lentokenttä","2024","1","2","11:00","-17.1","-17","-17.2"
"Helsinki Malmi lentokenttä","2024","1","2","12:00","-17.3","-17.2","-17.4"
"Helsinki Malmi lentokenttä","2024","1","2","13:00","-17.2","-17.1","-17.2"
"Helsinki Malmi lentokenttä","2024","1","2","14:00","-16.6","-16.3","-17.2"
"Helsinki Malmi lentokenttä","2024","1","2","15:00","-17.2","-16.9","-17.6"
"Helsinki Malmi lentokenttä","2024","1","2","16:00","-17.9","-17.6","-18.4"
"Helsinki Malmi lentokenttä","2024","1","2","17:00","-18.9","-18.4","-19.9"
"Helsinki Malmi lentokenttä","2024","1","2","18:00","-19.3","-19","-19.7"
"Helsinki Malmi lentokenttä","2024","1","2","19:00","-19.9","-19.6","-20.1"
"Helsinki Malmi lentokenttä","2024","1","2","20:00","-20.3","-20.1","-20.6"
"Helsinki Malmi lentokenttä","2024","1","2","21:00","-20.6","-20.2","-21"
"Helsinki Malmi lentokenttä","2024","1","2","22:00","-20.5","-20.2","-20.8"
"Helsinki Malmi lentokenttä","2024","1","2","23:00","-20.7","-20.5","-20.9"
"Helsinki Malmi lentokenttä","2024","1","3","00:00","-19.9","-19.2","-20.5"
"Helsinki Malmi lentokenttä","2024","1","3","01:00","-19.2","-19","-19.5"
"Helsinki Malmi lentokenttä","2024","1","3","02:00","-19.1","-18.7","-19.5"
"Helsinki Malmi lentokenttä","2024","1","3","03:00","-18.8","-18.7","-18.9"
"Helsinki Malmi lentokenttä","2024","1","3","04:00","-18.4","-18.2","-18.7"
"Helsinki Malmi lentokenttä","2024","1","3","05:00","-17.9","-17.3","-18.5"
"Helsinki Malmi lentokenttä","2024","1","3","06:00","-16.9","-16.7","-17.3"
"Helsinki Malmi lentokenttä","2024","1","3","07:00","-16.9","-16.8","-17.2"
"Helsinki Malmi lentokenttä","2024","1","3","08:00","-17.4","-17.2","-17.5"
"Helsinki Malmi lentokenttä","2024","1","3","09:00","-17.2","-16.9","-17.6"
